event_id,event_date,event_timestamp_utc,headline_text,source_query,source_hint,source_url,tier,review_status,coverage_bucket,final_event_type,theme,channels_hint,polarity_expected,routing_notes,keyword_additions_suggested,validation_status,observed_soxx_amplitude_z,observed_soxx_lag_days,observed_soxx_decay,observed_qqq_amplitude_z,observed_qqq_lag_days,observed_qqq_decay,observed_xlu_amplitude_z,observed_xlu_lag_days,observed_xlu_decay,observed_xle_amplitude_z,observed_xle_lag_days,observed_xle_decay,observed_soxx_d0,observed_soxx_d1,observed_soxx_d2,observed_soxx_d3,observed_qqq_d0,observed_qqq_d1,observed_qqq_d2,observed_qqq_d3,observed_xlu_d0,observed_xlu_d1,observed_xlu_d2,observed_xlu_d3,observed_xle_d0,observed_xle_d1,observed_xle_d2,observed_xle_d3,timestamp_quality,contamination_flag,benchmark_symbol,benchmark_adjustment_method,human_notes
E050,2026-04-24,,Maine governor vetoes statewide freeze on large data centers,Maine governor vetoes data center freeze April 2026,GDELT/NewsAPI,https://news.google.com/search?q=Maine+governor+vetoes+data+center+freeze+April+2026,gold,gold_approved,,policy_ai_infra,data_center_policy,permitting|buildout_support|power_enablement,positive,Legacy seeded gold observation migrated from events_seed.csv.,,aggregator_query_linked_seeded_observation,0.85,0.19,1.64,0.67,0.41,1.72,0.92,1.09,2.28,0.24,1.52,2.10,,,,,,,,,,,,,,,,,,,,,Migrated from legacy seed dataset.
E049,2026-04-16,,IEA reports data center electricity use surged in 2025 despite deployment bottlenecks,IEA data centre electricity use surged 2025 April 2026,GDELT/NewsAPI,https://news.google.com/search?q=IEA+data+centre+electricity+use+surged+2025+April+2026,gold,gold_approved,,ai_demand,data_center_electricity,ai_capex|compute_demand|power_rotation,positive,Legacy seeded gold observation migrated from events_seed.csv.,,aggregator_query_linked_seeded_observation,1.56,0.00,1.35,0.94,0.24,1.46,0.87,0.96,1.97,0.26,1.43,1.92,,,,,,,,,,,,,,,,,,,,,Migrated from legacy seed dataset.
E048,2026-03-10,,Strait of Hormuz disruption triggers sharp reaction in oil and gas markets,Strait of Hormuz disruption oil gas markets March 2026,GDELT/NewsAPI,https://news.google.com/search?q=Strait+of+Hormuz+disruption+oil+gas+markets+March+2026,gold,gold_approved,,geopolitical_energy,oil_lng_chokepoint,oil_supply_risk|risk_off|inflation_sensitivity,mixed,Legacy seeded gold observation migrated from events_seed.csv.,,aggregator_query_linked_seeded_observation,-0.80,0.50,1.42,-0.84,0.36,1.41,0.13,1.21,1.92,1.66,0.00,1.56,,,,,,,,,,,,,,,,,,,,,Migrated from legacy seed dataset.
E047,2026-02-10,,Research highlights data centers and US electric grid as a major AI bottleneck,AI data centers US electric grid bottleneck February 2026,GDELT/NewsAPI,https://news.google.com/search?q=AI+data+centers+US+electric+grid+bottleneck+February+2026,gold,gold_approved,,power_bottleneck,grid_constraint,grid_constraint|interconnection_delay|power_rotation,mixed,Legacy seeded gold observation migrated from events_seed.csv.,,aggregator_query_linked_seeded_observation,-0.75,0.49,1.48,-0.51,0.52,1.72,1.01,1.07,2.19,0.38,1.44,1.98,,,,,,,,,,,,,,,,,,,,,Migrated from legacy seed dataset.
E046,2026-01-14,,US imposes tariff on certain advanced AI chip imports,advanced AI chip imports tariff January 2026,GDELT/NewsAPI,https://news.google.com/search?q=advanced+AI+chip+imports+tariff+January+2026,gold,gold_approved,,policy_semiconductor,ai_chip_tariff,trade_restriction|supply_chain_risk|domestic_rotation,negative,Legacy seeded gold observation migrated from events_seed.csv.,,aggregator_query_linked_seeded_observation,-1.70,0.00,1.24,-0.93,0.32,1.55,0.48,1.13,1.87,0.20,1.94,2.20,,,,,,,,,,,,,,,,,,,,,Migrated from legacy seed dataset.
E045,2025-12-07,,Reports warn that large AI data centers may exceed gigawatt-scale power needs,AI data centers gigawatt power demand December 2025,GDELT/NewsAPI,https://news.google.com/search?q=AI+data+centers+gigawatt+power+demand+December+2025,gold,gold_approved,,power_bottleneck,gigawatt_data_centers,grid_constraint|interconnection_delay|power_rotation,mixed,Legacy seeded gold observation migrated from events_seed.csv.,,aggregator_query_linked_seeded_observation,-0.78,0.36,1.65,-0.53,0.50,1.69,1.06,1.09,2.11,0.35,1.55,1.98,,,,,,,,,,,,,,,,,,,,,Migrated from legacy seed dataset.
E044,2025-12-04,,SAFE Chips Act proposal raises advanced AI chip export-control risk,SAFE Chips Act advanced AI chip exports December 2025,GDELT/NewsAPI,https://news.google.com/search?q=SAFE+Chips+Act+advanced+AI+chip+exports+December+2025,gold,gold_approved,,policy_semiconductor,chip_export_controls,trade_restriction|supply_chain_risk|domestic_rotation,negative,Legacy seeded gold observation migrated from events_seed.csv.,,aggregator_query_linked_seeded_observation,-1.67,0.00,1.32,-1.03,0.44,1.40,0.48,1.17,1.73,0.22,1.78,2.31,,,,,,,,,,,,,,,,,,,,,Migrated from legacy seed dataset.
E043,2025-11-06,,Advanced GPU smuggling and enforcement headlines increase AI chip policy scrutiny,advanced GPU smuggling enforcement AI chips November 2025,GDELT/NewsAPI,https://news.google.com/search?q=advanced+GPU+smuggling+enforcement+AI+chips+November+2025,gold,gold_approved,,policy_semiconductor,chip_export_enforcement,trade_restriction|supply_chain_risk|domestic_rotation,negative,Legacy seeded gold observation migrated from events_seed.csv.,,aggregator_query_linked_seeded_observation,-1.92,0.03,1.28,-0.99,0.23,1.45,0.51,1.15,1.75,0.21,1.84,2.26,,,,,,,,,,,,,,,,,,,,,Migrated from legacy seed dataset.
E042,2025-10-09,,China export controls and trade tensions renew semiconductor supply-chain risk,China export controls semiconductor supply chain October 2025,GDELT/NewsAPI,https://news.google.com/search?q=China+export+controls+semiconductor+supply+chain+October+2025,gold,gold_approved,,policy_semiconductor,china_export_controls,trade_restriction|supply_chain_risk|domestic_rotation,negative,Legacy seeded gold observation migrated from events_seed.csv.,,aggregator_query_linked_seeded_observation,-1.75,0.00,1.15,-0.98,0.32,1.55,0.47,1.18,1.71,0.21,1.93,2.30,,,,,,,,,,,,,,,,,,,,,Migrated from legacy seed dataset.
E041,2025-09-12,,Power infrastructure bottlenecks raise concerns about timing of hyperscale AI buildout,power infrastructure bottlenecks hyperscale AI buildout September 2025,NewsAPI,https://news.google.com/search?q=power+infrastructure+bottlenecks+hyperscale+AI+buildout+September+2025,gold,gold_approved,,power_bottleneck,hyperscale_delay,grid_constraint|interconnection_delay|power_rotation,mixed,Legacy seeded gold observation migrated from events_seed.csv.,,news_query_linked_seeded_observation,-0.82,0.32,1.50,-0.54,0.60,1.57,0.96,1.11,2.17,0.35,1.44,2.11,,,,,,,,,,,,,,,,,,,,,Migrated from legacy seed dataset.
E040,2025-08-08,,AI data center co-location with energy assets becomes a policy focus,AI data center energy co-location policy August 2025,GDELT/NewsAPI,https://news.google.com/search?q=AI+data+center+energy+co-location+policy+August+2025,gold,gold_approved,,policy_ai_infra,ai_energy_colocation,permitting|buildout_support|power_enablement,positive,Legacy seeded gold observation migrated from events_seed.csv.,,aggregator_query_linked_seeded_observation,0.82,0.27,1.65,0.68,0.36,1.71,1.03,1.05,2.19,0.24,1.46,2.14,,,,,,,,,,,,,,,,,,,,,Migrated from legacy seed dataset.
E039,2025-07-24,,DOE designates federal sites for AI data center and energy co-location opportunities,DOE federal sites AI data center energy co-location July 2025,GDELT/NewsAPI,https://news.google.com/search?q=DOE+federal+sites+AI+data+center+energy+co-location+July+2025,gold,gold_approved,,policy_ai_infra,ai_energy_colocation,permitting|buildout_support|power_enablement,positive,Legacy seeded gold observation migrated from events_seed.csv.,,aggregator_query_linked_seeded_observation,0.86,0.21,1.49,0.76,0.38,1.58,0.94,1.00,2.12,0.25,1.57,2.11,,,,,,,,,,,,,,,,,,,,,Migrated from legacy seed dataset.
