event_id,event_date,event_text,event_type,theme,source_query,source_hint,source_url,validation_status,observed_soxx_amplitude_z,observed_soxx_lag_days,observed_soxx_decay,observed_qqq_amplitude_z,observed_qqq_lag_days,observed_qqq_decay,observed_xlu_amplitude_z,observed_xlu_lag_days,observed_xlu_decay,observed_xle_amplitude_z,observed_xle_lag_days,observed_xle_decay
E001,2024-01-12,Red Sea shipping disruption raises energy and logistics risk,geopolitical_energy,shipping_energy_risk,Red Sea shipping disruption energy markets January 2024,GDELT/NewsAPI,https://news.google.com/search?q=Red+Sea+shipping+disruption+energy+markets+January+2024,aggregator_query_linked_seeded_observation,-0.84,0.41,1.51,-0.79,0.23,1.36,0.14,1.27,1.99,1.63,0.00,1.54
E002,2024-01-26,US data center power demand concerns intensify as AI buildout accelerates,power_bottleneck,grid_constraint,AI data center power demand grid constraint January 2024,GDELT/NewsAPI,https://news.google.com/search?q=AI+data+center+power+demand+grid+constraint+January+2024,aggregator_query_linked_seeded_observation,-0.82,0.45,1.45,-0.51,0.60,1.75,0.98,1.19,2.09,0.38,1.45,2.15
E003,2024-02-21,Nvidia earnings reinforce AI data center demand narrative,ai_demand,ai_capex,Nvidia earnings AI data center demand February 2024,NewsAPI,https://news.google.com/search?q=Nvidia+earnings+AI+data+center+demand+February+2024,news_query_linked_seeded_observation,1.59,0.00,1.30,1.05,0.05,1.39,0.77,1.07,1.93,0.25,1.53,1.94
E004,2024-03-05,Utilities warn that AI data center growth may strain regional grids,power_bottleneck,grid_constraint,utilities warn AI data center grid strain March 2024,GDELT/NewsAPI,https://news.google.com/search?q=utilities+warn+AI+data+center+grid+strain+March+2024,aggregator_query_linked_seeded_observation,-0.73,0.40,1.52,-0.47,0.59,1.58,1.07,0.90,2.08,0.37,1.56,1.98
E005,2024-03-20,AI infrastructure spending expectations rise after cloud capex commentary,ai_demand,ai_capex,cloud capex AI infrastructure spending March 2024,NewsAPI,https://news.google.com/search?q=cloud+capex+AI+infrastructure+spending+March+2024,news_query_linked_seeded_observation,1.47,0.00,1.27,0.98,0.18,1.42,0.71,1.00,1.79,0.26,1.39,2.03
E006,2024-04-04,Oil prices rise as Middle East escalation risk increases,geopolitical_energy,oil_supply_risk,Middle East escalation oil prices April 2024,GDELT/NewsAPI,https://news.google.com/search?q=Middle+East+escalation+oil+prices+April+2024,aggregator_query_linked_seeded_observation,-0.80,0.47,1.55,-0.77,0.39,1.57,0.13,1.15,1.94,1.61,0.00,1.47
E007,2024-04-16,New restrictions on AI chip sales to China renew semiconductor policy risk,policy_semiconductor,chip_export_controls,AI chip sales China restrictions April 2024,GDELT/NewsAPI,https://news.google.com/search?q=AI+chip+sales+China+restrictions+April+2024,aggregator_query_linked_seeded_observation,-1.76,0.00,1.19,-1.03,0.29,1.40,0.48,1.22,1.70,0.23,1.85,2.14
E008,2024-04-25,Major cloud providers signal higher AI infrastructure investment,ai_demand,ai_capex,cloud providers AI infrastructure investment April 2024,NewsAPI,https://news.google.com/search?q=cloud+providers+AI+infrastructure+investment+April+2024,news_query_linked_seeded_observation,1.53,0.00,1.39,0.96,0.17,1.50,0.75,0.98,1.79,0.28,1.36,2.06
E009,2024-05-08,US considers additional trade restrictions affecting advanced semiconductor supply chains,policy_semiconductor,chip_export_controls,US additional trade restrictions advanced semiconductors May 2024,GDELT/NewsAPI,https://news.google.com/search?q=US+additional+trade+restrictions+advanced+semiconductors+May+2024,aggregator_query_linked_seeded_observation,-1.82,0.00,1.19,-1.01,0.31,1.52,0.45,1.10,1.69,0.22,1.86,2.29
E010,2024-05-22,AI server demand boosts semiconductor and data center supply chain expectations,ai_demand,ai_servers,AI server demand semiconductor data center May 2024,NewsAPI,https://news.google.com/search?q=AI+server+demand+semiconductor+data+center+May+2024,news_query_linked_seeded_observation,1.72,0.01,1.36,1.08,0.01,1.50,0.76,1.02,2.00,0.26,1.51,1.94
